0    ASSIGNOP
1    FILEEND
2    RELOP
3    ID
4    CONTROL
5    ADDOP
6    MULOP
7    WS
8    ARRAY
9    TYPE
10   VAR
11   INT
12   REAL
13   PUNC
14   GROUP
15   INVERSE
16   NOOP
17   LEXERR
      Line              Lexeme     Token Type     Token Attribute
         1             program              4                   7
         1                 fib              3      0x7f9939500280
         1                   (             14                   0
         1               input              3      0x7f99395003e0
         1                   ,             13                   0
         1              output              3      0x7f9939500580
         1                   )             14                   1
         1                   ;             13                   1
         2                 var             10                   0
         2                   n              3      0x7f99395007a0
         2                   ,             13                   0
         2                   p              3      0x7f99395008a0
         2                   :              9                   0
         2             integer              9                   1
         2                   ;             13                   1
         3                 var             10                   0
         3                   q              3      0x7f9939500c00
         3                   :              9                   0
         3                real              9                   2
         3                   ;             13                   1
         4                 var             10                   0
         4           numsArray              3      0x7f9939501000
         4                   :              9                   0
         4               array              8                   0
         4                   [             14                   2
         4                   1             11                   1
         4                  ..              8                   1
         4                  12             11                  12
         4                   ]             14                   3
         4                  of              8                   2
         4             integer              9                   1
         4                   ;             13                   1
         6            function              4                   4
         6                 fib              3      0x7f9939500280
         6                   (             14                   0
         6                   a              3      0x7f9939501a40
         6                   :              9                   0
         6             integer              9                   1
         6                   ;             13                   1
         6                   b              3      0x7f9939501d00
         6                   ,             13                   0
         6                   c              3      0x7f9939501e00
         6                   :              9                   0
         6                real              9                   2
         6                   )             14                   1
         6                   :              9                   0
         6                real              9                   2
         6                   ;             13                   1
         7               begin              4                   0
         8                  if              4                   5
         8                   a              3      0x7f9939501a40
         8                  <=              2                   1
         8                   1             11                   1
         8                then              4                   8
         8                 fib              3      0x7f9939500280
         8                  :=              0                   0
         8                   c              3      0x7f9939501e00
         9                else              4                   2
         9                 fib              3      0x7f9939500280
         9                  :=              0                   0
         9                 fib              3      0x7f9939500280
         9                   (             14                   0
         9                   a              3      0x7f9939501a40
         9                   -              5                   1
         9                   1             11                   1
         9                   ,             13                   0
         9                   c              3      0x7f9939501e00
         9                   ,             13                   0
         9                   b              3      0x7f9939501d00
         9                   +              5                   0
         9                   c              3      0x7f9939501e00
         9                   )             14                   1
        10                 end              4                   3
        10                   ;             13                   1
        12            function              4                   4
        12                fib2              3      0x7f9939503460
        12                   (             14                   0
        12                   a              3      0x7f9939501a40
        12                   :              9                   0
        12             integer              9                   1
        12                   )             14                   1
        12                   :              9                   0
        12             integer              9                   1
        12                   ;             13                   1
        13                 var             10                   0
        13                   b              3      0x7f9939501d00
        13                   ,             13                   0
        13                   c              3      0x7f9939501e00
        13                   ,             13                   0
        13                 sum              3      0x7f9939503cc0
        13                   :              9                   0
        13             integer              9                   1
        13                   ;             13                   1
        14               begin              4                   0
        15                   a              3      0x7f9939501a40
        15                  :=              0                   0
        15                   a              3      0x7f9939501a40
        15                   -              5                   1
        15                   1             11                   1
        15                   ;             13                   1
        16                   b              3      0x7f9939501d00
        16                  :=              0                   0
        16                   0             11                   0
        16                   ;             13                   1
        17                 sum              3      0x7f9939503cc0
        17                  :=              0                   0
        17                   1             11                   1
        17                   ;             13                   1
        18                   c              3      0x7f9939501e00
        18                  :=              0                   0
        18                   b              3      0x7f9939501d00
        18                   ;             13                   1
        19               while              4                   9
        19                   (             14                   0
        19                   a              3      0x7f9939501a40
        19                   >              2                   3
        19                   0             11                   0
        19                   )             14                   1
        19                  do              4                   1
        20               begin              4                   0
        21                   a              3      0x7f9939501a40
        21                  :=              0                   0
        21                   a              3      0x7f9939501a40
        21                   -              5                   1
        21                   1             11                   1
        21                   ;             13                   1
        22                   b              3      0x7f9939501d00
        22                  :=              0                   0
        22                 sum              3      0x7f9939503cc0
        22                   ;             13                   1
        23                 sum              3      0x7f9939503cc0
        23                  :=              0                   0
        23                   c              3      0x7f9939501e00
        23                   +              5                   0
        23                 sum              3      0x7f9939503cc0
        23                   ;             13                   1
        24                   c              3      0x7f9939501e00
        24                  :=              0                   0
        24                   b              3      0x7f9939501d00
        25                 end              4                   3
        25                   ;             13                   1
        26                fib2              3      0x7f9939503460
        26                  :=              0                   0
        26                 sum              3      0x7f9939503cc0
        26                   ;             13                   1
        27                 end              4                   3
        27                   ;             13                   1
        29           procedure              4                   6
        29                init              3      0x7f9939506620
        29                   (             14                   0
        29                   )             14                   1
        29                   ;             13                   1
        30               begin              4                   0
        31                   n              3      0x7f99395007a0
        31                  :=              0                   0
        31                  12             11                  12
        31                   ;             13                   1
        32                  if              4                   5
        32                   (             14                   0
        32                   1             11                   1
        32                 and              6                   2
        32                   2             11                   2
        32                   )             14                   1
        32                  or              5                   2
        32                   3             11                   3
        32                then              4                   8
        32                   p              3      0x7f99395008a0
        32                  :=              0                   0
        32                  12             11                  12
        33                else              4                   2
        33                   p              3      0x7f99395008a0
        33                  :=              0                   0
        33                  14             11                  14
        33                   ;             13                   1
        34           numsArray              3      0x7f9939507980
        34                   [             14                   2
        34                   3             11                   3
        34                   ]             14                   3
        34                  :=              0                   0
        34               15.56             12           15.560000
        34                   ;             13                   1
        35                   q              3      0x7f9939500c00
        35                  :=              0                   0
        35                  12             11                  12
        36                 end              4                   3
        36                   ;             13                   1
        38               begin              4                   0
        39                init              3      0x7f9939506620
        39                   ;             13                   1
        40             writeln              3      0x7f9939508690
        40                   (             14                   0
        40                   +              5                   0
        40                 fib              3      0x7f9939500280
        40                   (             14                   0
        40                   n              3      0x7f99395007a0
        40                   ,             13                   0
        40                   0             11                   0
        40                   ,             13                   0
        40                   1             11                   1
        40                   )             14                   1
        40                   *              6                   0
        40                   q              3      0x7f9939500c00
        40                   /              6                   1
        40                   p              3      0x7f99395008a0
        40                   +              5                   0
        40                   4             11                   4
        40                   )             14                   1
        40                   ;             13                   1
        41             writeln              3      0x7f9939508690
        41                   (             14                   0
        41                fib2              3      0x7f9939503460
        41                   (             14                   0
        41                   n              3      0x7f99395007a0
        41                   )             14                   1
        41                   )             14                   1
        41                   ;             13                   1
        42             writeln              3      0x7f9939508690
        42                   (             14                   0
        42           numsArray              3      0x7f9939509790
        42                   [             14                   2
        42                   3             11                   3
        42                   ]             14                   3
        42                   )             14                   1
        43                 end              4                   3
        43                   .             13                   2
        44                 EOF              1                   0
