and         MULOP       2
array       ARRAY       0
begin       CONTROL     0
div         MULOP       3
do          CONTROL     1
else        CONTROL     2
end         CONTROL     3
function    CONTROL     4
if          CONTROL     5
integer     TYPE        1
mod         MULOP       4
not         INVERSE     0
of          ARRAY       2
or          ADDOP       2
procedure   CONTROL     6
program     CONTROL     7
real        TYPE        2
then        CONTROL     8
var         VAR         0
while       CONTROL     9
